6
0.0
2
3
0 0 0 0 0 0
130 130 130 1 1 1 

2 2 2 200 200 2
1 1 1 3 3 3

157 88 193 1 1 1
45 190 203 150 40 17

1.0
2
3
0 0 0 5 5 5
130 130 130 1 1 1

2 2 2 200 200 2
10 10 10 3 3 3

157 88 193 1 1 1
45 190 203 150 40 17

2.0
2
3
0 0 0 5 5 5
130 130 130 1 5 8

3 5 6 200 200 2
10 10 10 3 3 3

157 88 193 1 5 9
45 190 203 150 40 17

2.0
3
3
0 0 0 80 80 80 80 80 80
130 130 130 78 78 78 80 80 80
80 80 80 80 80 80 80 90 90 90

80 80 80 79 79 79 200 200 2
78 78 78 79 79 79 10 10 10
80 78 79 78 79 80 0 0 0

157 88 193 1 1 1 150 40 17
45 190 203 78 78 78 78 78 78
0 0 0 80 80 80 79 79 79

0.0
2
3
0 0 0 0 0 0
1 1 1 1 1 1

2 2 2 2 2 2
3 3 3 3 3 3

4 4 4 1 1 1
5 5 5 5 5 5

10.0
6
4
247 247 247 247 247 247 247 247 247 247 247 247 247 247 247 247 247 247
247 247 247 247 247 247 247 247 247 247 247 247 247 247 247 247 247 247
247 247 247 247 247 247 247 247 247 247 247 247 247 247 247 247 247 247
247 247 247 247 247 247 247 247 247 0 0 0 247 247 247 247 247 247
247 247 247 247 247 247 247 247 247 247 247 247 0 0 0 247 247 247
247 247 247 247 247 247 247 247 247 247 247 247 247 247 247 0 0 0

0 0 0 247 252 252 252 252 252 252 252 252 252 252 252 252 252 252
252 252 252 0 0 0 252 252 252 252 252 252 252 252 252 252 252 252
252 252 252 252 252 252 0 0 0 252 252 252 252 252 252 252 252 252
252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252
252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252
252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 252 255

255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255
255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255
255 255 255 255 255 255 0 0 0 255 255 255 255 255 255 255 255 255
255 255 255 255 255 255 255 255 255 0 0 0 255 255 255 255 255 255
255 255 255 255 255 255 255 255 255 255 255 255 0 0 0 255 255 255
255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255

150 150 150 0 0 0 255 255 255 255 255 255 150 150 150 150 150 150
150 150 150 255 255 255 0 0 0 255 255 255 150 150 150 150 150 150
150 150 150 255 255 255 255 255 255 0 0 0 150 150 150 150 150 150
150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150
150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150
150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150

