6
9
black_lab: A dog_breed@ that has black@ fur.
Jack_Russell: A hyper dog_breed@ that is often used to assist when hunting.
black: A color.
dog_breed: A phenotype of a dog@.
cat: A small mammal@ that the internet loves.
dog: A larger mammal@ that is a common household pet.
mammal: An animal@ with fur and births its young.
animal: A living organism that eats organic matter.
carrot: A yummy orange plant.
6
black_lab  Jack_Russell
cat  dog
black_lab  cat
black_lab  dog_breed
Jack_Russell  animal
carrot cat
10
a: b@
b: c@
c: d@
d: e@
e: f@
f: g@
g: h@
h: i@
i: j@
j: nothing
5
a b
a c
a d
a j
i j
16
a: b@ c@
b: d@ e@
c: f@ g@
d: h@ i@
e: j@ k@
f: l@ m@
g: n@ o@
h: nothing
i: nothing
j: nothing
k: nothing
l: nothing
m: nothing
n: nothing
o: nothing
q: nothing
4
a b
o h
f g
q g
2
a: nothing
b: nothing
1
a b
5
a: b@ c@ d@ e@
b: a@ c@ d@ e@
c: a@ b@ d@ e@
d: a@ b@ c@ e@
e: a@ b@ c@ d@
5
a b
b d
c e
d e
a e
16
a: nothing
b: a@
c: a@
d: b@
e: b@
f: c@
g: c@
h: d@
i: d@
j: e@
k: e@
l: f@
m: f@
n: g@
o: g@
q: nothing
4
a b
o h
f g
q g
